('total_service_delay', 'net_speed', 'cpu_usage', 'memory_usage')
(0.0019954442977905273, 347424471.9472584, 10.3, 50.3)
(0.5871707201004028, 132266.79280610988, 22.4, 50.4)
(0.5994150638580322, 132169.10684391926, 27.1, 50.4)
(0.578639030456543, 128468.75137592726, 28.3, 50.5)
(0.5872347354888916, 64165.28170192423, 28.1, 50.4)
(1.9337702989578247, 128315.2275334608, 16.5, 50.4)
(0.5849357843399048, 64157.6137667304, 27.7, 50.5)
(0.5995653867721558, 128284.56678614097, 29.3, 50.5)
(0.5732955932617188, 125232.30977373455, 26.7, 50.5)
(0.5806498527526855, 65098.93440038802, 27.8, 50.5)
(0.5740925073623657, 128345.90294047334, 28.1, 50.5)
(0.5805037021636963, 64188.296508847445, 28.7, 50.5)
(0.5979418754577637, 128284.56678614097, 27.6, 50.5)
(0.5759875774383545, 128407.29777565176, 28.6, 50.5)
(0.562464714050293, 64142.28339307049, 27.9, 50.5)
(0.587928295135498, 128315.2275334608, 26.9, 50.5)
(0.6032273769378662, 64172.95147023667, 27.8, 50.5)
(0.5664651393890381, 128284.56678614097, 28.4, 50.5)
(0.58391273021698, 64126.96034400382, 27.9, 50.5)
(0.5846620798110962, 128315.2275334608, 28.5, 50.5)
(0.5949838161468506, 128192.67239732569, 29.8, 50.6)
(0.5732067823410034, 128192.67239732569, 27.6, 50.5)
(0.5785174369812012, 128315.2275334608, 28.8, 50.5)
(0.5970360040664673, 128192.67239732569, 28.0, 50.5)
(0.5813078880310059, 64126.96034400382, 27.1, 50.5)
(0.5758867263793945, 64149.947663998086, 27.7, 50.5)
(0.5854204893112183, 65051.60693081304, 27.5, 50.5)
(0.5606086254119873, 128315.2275334608, 28.1, 50.5)
(0.5921882390975952, 128284.56678614097, 28.1, 50.5)
(0.5737484693527222, 64111.644614282304, 29.1, 50.5)
(0.5827776193618774, 128253.92068800764, 27.9, 50.5)
(0.5998902320861816, 128253.92068800764, 26.5, 50.5)
(0.5649746656417847, 132234.2147783251, 27.7, 50.5)
(0.5921039581298828, 128253.92068800764, 28.2, 50.6)
(0.5760585069656372, 64157.6137667304, 27.4, 50.5)
(0.6013286113739014, 128284.56678614097, 26.5, 50.5)
(0.5686688423156738, 132104.06299212598, 28.3, 50.5)
(0.5836697816848755, 132331.99704214936, 28.3, 50.5)
(0.5788964033126831, 128192.67239732569, 28.7, 50.5)
(0.5950961112976074, 128345.90294047334, 27.4, 50.5)
(0.577484130859375, 64142.28339307049, 28.5, 50.5)
(0.5828037261962891, 64180.623072325165, 28.1, 50.5)
(0.5845965147018433, 128345.90294047334, 27.4, 50.5)
(0.5926547050476074, 128376.59301769489, 28.4, 50.5)
(0.5851665735244751, 128345.90294047334, 26.6, 50.5)
(0.5705949068069458, 64165.28170192423, 27.9, 50.5)
(0.5644611120223999, 64165.28170192423, 28.1, 50.5)
(0.5764909982681274, 64157.6137667304, 28.5, 50.5)
(0.5810713768005371, 128009.27801621363, 27.2, 50.5)
(0.5888545513153076, 128162.07018381475, 29.0, 50.5)
(0.5763229131698608, 64126.96034400382, 28.9, 50.5)
(0.5874897241592407, 64165.28170192423, 27.1, 50.5)
(0.5784478187561035, 238185.85270629992, 26.8, 50.5)
(0.5708755254745483, 128253.92068800764, 29.1, 50.6)
(0.5734579563140869, 131876.91279783836, 27.6, 50.5)
(0.5748355388641357, 128315.2275334608, 28.3, 50.5)
(0.5786522626876831, 128345.90294047334, 28.1, 50.5)
(0.5645723342895508, 128253.92068800764, 29.6, 50.5)
(0.5802692174911499, 128345.90294047334, 28.1, 50.5)
(0.595359206199646, 65320.70957537413, 27.1, 50.5)
(0.5729712247848511, 64165.28170192423, 28.3, 50.5)
(0.5906765460968018, 128407.29777565176, 26.6, 50.5)
(0.5774282217025757, 128345.90294047334, 28.3, 50.5)
(0.5894242525100708, 128345.90294047334, 28.6, 50.6)
(0.574802041053772, 128376.59301769489, 26.9, 50.5)
(0.5891748666763306, 128253.92068800764, 28.1, 50.5)
(0.5674811601638794, 128253.92068800764, 28.8, 50.5)
(0.5794814825057983, 64157.6137667304, 27.8, 50.5)
(0.5794676542282104, 64126.96034400382, 27.3, 50.5)
(0.5764309167861938, 128345.90294047334, 28.2, 50.5)
(0.5690594911575317, 64157.6137667304, 27.7, 50.5)
(0.6008831262588501, 64149.947663998086, 25.4, 50.5)
(0.5931955575942993, 64195.97178046156, 28.0, 50.5)
(0.583641767501831, 128315.2275334608, 29.6, 50.5)
(0.5482128858566284, 128315.2275334608, 28.7, 50.5)
(0.5844365358352661, 128407.29777565176, 27.6, 50.5)
(0.5823382139205933, 64142.28339307049, 28.0, 50.5)
(0.5822700262069702, 128376.59301769489, 27.8, 50.5)
(0.5685298442840576, 64172.95147023667, 27.6, 50.5)
(0.5919309854507446, 64165.28170192423, 28.1, 50.5)
(0.5738831758499146, 84613.22490149725, 28.5, 50.5)
(0.5849101543426514, 128315.2275334608, 26.8, 50.5)
(0.5780705213546753, 64149.947663998086, 27.3, 50.5)
(0.5915701389312744, 128407.29777565176, 29.6, 50.6)
(0.5603765249252319, 128345.90294047334, 28.5, 50.5)
(0.5806812047958374, 64165.28170192423, 27.7, 50.5)
(0.5740125179290771, 64165.28170192423, 28.2, 50.5)
(0.5767507553100586, 64126.96034400382, 28.9, 50.5)
(0.5771445035934448, 64134.62095329112, 27.1, 50.5)
