{'time': 1622618667.4206367, 'processing_delay': 4.546796560287476, 'bandwidth': 3019.4365287815303}
{'time': 1622618672.295485, 'processing_delay': 4.50421142578125, 'bandwidth': 3377.6300071091987}
{'time': 1622618677.1192129, 'processing_delay': 4.557060956954956, 'bandwidth': 3128.691298165458}
{'time': 1622618681.9961233, 'processing_delay': 4.550884008407593, 'bandwidth': 3333.556319291154}
{'time': 1622618686.8741183, 'processing_delay': 4.619133472442627, 'bandwidth': 3207.20996445533}
{'time': 1622618691.8068306, 'processing_delay': 4.418562412261963, 'bandwidth': 3291.2030308417575}
{'time': 1622618696.5441492, 'processing_delay': 4.5331947803497314, 'bandwidth': 3207.506964711927}
{'time': 1622618701.408157, 'processing_delay': 4.4234113693237305, 'bandwidth': 3166.800832886021}
{'time': 1622618706.1412456, 'processing_delay': 4.447199821472168, 'bandwidth': 3414.9812639740985}
{'time': 1622618710.9075127, 'processing_delay': 4.434768915176392, 'bandwidth': 3327.781020269014}
{'time': 1622618715.662466, 'processing_delay': 4.52549147605896, 'bandwidth': 3420.9871761785967}
{'time': 1622618720.50399, 'processing_delay': 4.469471454620361, 'bandwidth': 3292.929000996703}
{'time': 1622618725.2884305, 'processing_delay': 4.454890012741089, 'bandwidth': 3534.2776490415}
{'time': 1622618730.0684168, 'processing_delay': 4.682890892028809, 'bandwidth': 3419.222382503638}
{'time': 1622618735.0759292, 'processing_delay': 4.662667989730835, 'bandwidth': 3333.7633204069784}
{'time': 1622618740.064039, 'processing_delay': 4.755099058151245, 'bandwidth': 3468.897839978807}
{'time': 1622618745.140264, 'processing_delay': 4.515057802200317, 'bandwidth': 3333.732268600738}
{'time': 1622618749.9834335, 'processing_delay': 4.5363359451293945, 'bandwidth': 3289.8517801335865}
{'time': 1622618754.8355749, 'processing_delay': 4.5508623123168945, 'bandwidth': 3512.0361100571745}
{'time': 1622618759.7075639, 'processing_delay': 4.653439998626709, 'bandwidth': 3398.5624612268152}
{'time': 1622618764.6906352, 'processing_delay': 4.630068778991699, 'bandwidth': 3243.4822471801504}
{'time': 1622618769.6361365, 'processing_delay': 4.594470739364624, 'bandwidth': 3095.3916121815937}
{'time': 1622618774.5640736, 'processing_delay': 4.648253679275513, 'bandwidth': 3055.802651275834}
{'time': 1622618779.5397885, 'processing_delay': 4.690314769744873, 'bandwidth': 3290.6987030181185}
{'time': 1622618784.55488, 'processing_delay': 4.513436794281006, 'bandwidth': 3288.582212884296}
{'time': 1622618789.4081526, 'processing_delay': 4.583662509918213, 'bandwidth': 3149.209352526426}
{'time': 1622618794.3070807, 'processing_delay': 4.5553059577941895, 'bandwidth': 3463.7615171955495}
{'time': 1622618799.1989636, 'processing_delay': 4.545817613601685, 'bandwidth': 3262.076455451621}
{'time': 1622618804.0680003, 'processing_delay': 4.494411468505859, 'bandwidth': 3307.0771960083775}
{'time': 1622618808.883453, 'processing_delay': 4.552893161773682, 'bandwidth': 3249.9419591510587}
{'time': 1622618813.75952, 'processing_delay': 4.543418884277344, 'bandwidth': 3201.176503558215}
{'time': 1622618818.6333401, 'processing_delay': 4.555800437927246, 'bandwidth': 3039.9874973811316}
{'time': 1622618823.502932, 'processing_delay': 4.507022142410278, 'bandwidth': 3234.17186196344}
{'time': 1622618828.3496468, 'processing_delay': 4.566709756851196, 'bandwidth': 3265.667947091975}
{'time': 1622618833.2310529, 'processing_delay': 4.774135112762451, 'bandwidth': 3208.9736107541407}
{'time': 1622618838.3263123, 'processing_delay': 4.64556884765625, 'bandwidth': 3377.5875080999804}
{'time': 1622618843.2900438, 'processing_delay': 4.628930330276489, 'bandwidth': 3269.685480506588}
{'time': 1622618848.2357092, 'processing_delay': 4.635977745056152, 'bandwidth': 3434.325360626899}
{'time': 1622618853.201624, 'processing_delay': 4.743650674819946, 'bandwidth': 3244.4132938108664}
{'time': 1622618858.2652428, 'processing_delay': 4.6296226978302, 'bandwidth': 3353.808218493484}
{'time': 1622618863.2172096, 'processing_delay': 4.548412322998047, 'bandwidth': 3378.267620611758}
{'time': 1622618868.0978816, 'processing_delay': 4.618659734725952, 'bandwidth': 3285.291950323254}
{'time': 1622618873.0583043, 'processing_delay': 4.5580666065216064, 'bandwidth': 3446.2076951715817}
{'time': 1622618877.9421253, 'processing_delay': 4.617072820663452, 'bandwidth': 3092.770348351566}
{'time': 1622618882.8907888, 'processing_delay': 4.6229352951049805, 'bandwidth': 3109.6631952086927}
{'time': 1622618887.8488102, 'processing_delay': 4.582858085632324, 'bandwidth': 3130.351371680126}
{'time': 1622618892.7552516, 'processing_delay': 4.626392841339111, 'bandwidth': 3126.914600727459}
{'time': 1622618897.7139053, 'processing_delay': 4.516280651092529, 'bandwidth': 3396.2620242033945}
{'time': 1622618902.548347, 'processing_delay': 4.559430837631226, 'bandwidth': 3250.325637431928}
{'time': 1622618907.471675, 'processing_delay': 4.6188154220581055, 'bandwidth': 3136.844358749635}
{'time': 1622618912.414138, 'processing_delay': 4.652127027511597, 'bandwidth': 3250.4929101631087}
{'time': 1622618917.3827138, 'processing_delay': 4.481455326080322, 'bandwidth': 3421.1179741092283}
{'time': 1622618922.191215, 'processing_delay': 4.461172819137573, 'bandwidth': 3425.855230790338}
{'time': 1622618926.976433, 'processing_delay': 4.446227788925171, 'bandwidth': 3470.243182273588}
{'time': 1622618931.7417908, 'processing_delay': 4.5592052936553955, 'bandwidth': 3288.0887568709713}
{'time': 1622618936.6291556, 'processing_delay': 4.499751567840576, 'bandwidth': 3472.083505254648}
{'time': 1622618941.464508, 'processing_delay': 4.391932487487793, 'bandwidth': 3290.9306746191073}
{'time': 1622618946.173718, 'processing_delay': 4.3923869132995605, 'bandwidth': 3331.177652785491}
{'time': 1622618950.8874805, 'processing_delay': 4.416550397872925, 'bandwidth': 3470.59089865959}
{'time': 1622618955.619015, 'processing_delay': 4.478714466094971, 'bandwidth': 3218.55407212014}
{'time': 1622618960.4347687, 'processing_delay': 4.517985582351685, 'bandwidth': 2983.8511606192565}
{'time': 1622618965.2654479, 'processing_delay': 4.369352340698242, 'bandwidth': 3328.3070962062434}
{'time': 1622618969.9526138, 'processing_delay': 4.369189977645874, 'bandwidth': 3568.3985337467557}
{'time': 1622618974.6631868, 'processing_delay': 4.433909177780151, 'bandwidth': 3484.206402876297}
{'time': 1622618979.4248514, 'processing_delay': 4.464654445648193, 'bandwidth': 3281.8277023516252}
{'time': 1622618984.2117105, 'processing_delay': 4.337675094604492, 'bandwidth': 3507.4128211409998}
{'time': 1622618988.868624, 'processing_delay': 4.4077699184417725, 'bandwidth': 3292.757332286594}
{'time': 1622618993.5951674, 'processing_delay': 4.495001316070557, 'bandwidth': 3249.332195490997}
{'time': 1622618998.4247289, 'processing_delay': 4.430305004119873, 'bandwidth': 3413.3962685214915}
{'time': 1622619003.1770399, 'processing_delay': 4.426051139831543, 'bandwidth': 3198.020634277681}
{'time': 1622619007.9242158, 'processing_delay': 4.4023942947387695, 'bandwidth': 3376.3130349472676}
